Country,Facebook Users (%)
India,18.188348002966674
United States,72.50697215715049
Brazil,65.39348007338579
Indonesia,50.07245900870387
Mexico,60.496652855927145
Philippines,65.48575840803464
Vietnam,68.54425109287861
Thailand,65.9025995681546
United Kingdom,64.81453152402783
Turkey,52.170366077205955
Egypt,41.43279126343473
Iran,47.623045120132645
Pakistan,16.781930962386475
Bangladesh,20.470657783689674
France,50.5564960340497
Germany,36.999930129809364
Argentina,66.37788745469875
Italy,49.61808464071197
Colombia,56.99361697038794
Japan,22.13850686413498
Nigeria,13.156133730333575
Malaysia,78.84817644590547
Saudi Arabia,68.13376197091097
Canada,60.939818114249654
Spain,49.192833297165905
Myanmar,40.80147326400759
South Korea,42.59088573379897
South Africa,35.880070863139956
Iraq,52.89577649997975
Peru,60.65779619186716
Taiwan,80.57346135234515
Algeria,43.32850091322798
Morocco,49.660584938294086
Australia,58.82379700237068
Poland,36.99142308937516
Russia,8.976632263871984
Chile,68.00514390908529
Venezuela,45.71679360696358
Nepal,35.75889301257708
Ecuador,56.67952951909573
Netherlands,57.19330730921129
Ukraine,21.7223480568628
Kazakhstan,49.241861206014455
Romania,46.263348340505104
United Arab Emirates,88.33816866088962
Cambodia,46.713417965765224
Syria,43.47999943773543
Tunisia,62.99382355925003
Kenya,13.018097982983337
Guatemala,37.955815858029176
Belgium,56.084654349843824
Sri Lanka,30.018798174905637
Sweden,62.380777214975545
Bolivia,52.257252000146316
Ethiopia,5.225132674182021
Israel,67.89874918188188
Portugal,56.881097616887956
Jordan,56.4042381487884
Hong Kong,71.50878466945562
Hungary,54.863430945728574
Dominican Republic,47.013664383277515
Libya,74.13452957609718
Greece,47.97058520468185
Ghana,15.769347863446459
Ivory Coast,18.03757137407853
Czech Republic,42.95460044237635
Singapore,76.40578961024843
Tanzania,7.150005713643058
Kuwait,95.84198459643922
Lebanon,58.12075256631619
Belarus,40.74365962513929
Afghanistan,9.885855412403085
Denmark,63.87898764580379
Switzerland,42.75172272110787
Austria,41.081906440288336
Senegal,20.35364822123269
Norway,62.7162673638748
El Salvador,52.41894143031248
Serbia,38.913306989024505
Honduras,34.32745993859221
Bulgaria,47.4926404396955
Paraguay,46.26684077953738
Costa Rica,62.81754761079347
Slovakia,58.6119016594861
Dr Congo,3.4802938493493674
New Zealand,64.28557060598274
Uzbekistan,9.244319322452943
Laos,42.00363958238266
Qatar,102.11544181936256
Ireland,54.68037699487179
Finland,48.73012893631153
Cameroon,10.171076374499483
Palestine,52.475646948081454
Oman,51.60746058160516
Yemen,8.556638772849052
Georgia,63.27135464622062
Nicaragua,37.738389633475705
Uganda,5.402154788590465
Mozambique,7.832237817198832
Kyrgyzstan,37.062043669755425
Uruguay,69.08999835911254
Madagascar,8.367334129788945
Zambia,12.255251930283773
Angola,6.827668194311785
Mongolia,68.11477935143017
Puerto Rico,73.40468035232848
Guinea,15.289966834934985
Panama,46.35244498718008
Azerbaijan,18.285507788255398
Croatia,43.84611281068929
Haiti,15.785973075444323
Mali,8.247068157640724
Somalia,10.485601975483636
Bosnia And Herzegovina,45.720291183390486
Lithuania,51.427309885173834
Albania,48.64832370038609
Bahrain,79.48518284530508
China,0.09240450426631458
Sudan,2.964702254952535
Armenia,42.25100675172438
Jamaica,37.14751650278421
Zimbabwe,6.6877822964041265
Benin,7.588755444107166
Slovenia,43.772349151345544
Cyprus,72.05810367918738
Mauritius,66.99335098854507
Burkina Faso,4.018509445865249
Botswana,35.29471297956691
Moldova,19.831614717338756
Mauritania,17.1388949466821
Gabon,33.382246036588384
Latvia,39.2323605475141
Republic Of The Congo,13.279964596426261
Trinidad And Tobago,50.018292404079205
Sierra Leone,8.692509436211662
Namibia,27.250133318640408
Papua New Guinea,7.488523558224499
Togo,7.949292668773593
Tajikistan,6.767918076212734
Estonia,46.73830694252319
Rwanda,4.5737340121977565
Reunion,60.76094143717498
Liberia,10.617514232313189
Malawi,2.6147478049082404
Niger,2.06637483494201
Fiji,52.42931802843454
Burundi,3.7844434816072683
Lesotho,20.800569868395318
Bhutan,53.537547563011266
Macau,62.66411020505595
Brunei,91.47867669076687
Timor Leste,29.58030103644824
Maldives,69.39305588444235
Gambia,15.314474309255555
Guyana,45.76938333384189
Chad,1.9968508201455948
Malta,72.4731226630249
Luxembourg,51.12000741240107
Montenegro,50.95005938866297
Suriname,52.84403169278185
South Sudan,2.5273177606203476
Swaziland,21.99689009484866
Iceland,73.26157606163349
Cape Verde,43.166476914028564
Bahamas,55.944909521823604
Guadeloupe,54.982955283862
Djibouti,21.427125506072876
Belize,50.29826873359019
Comoros,20.52665532813325
Martinique,45.30132040025049
Barbados,55.676381035232716
French Polynesia,53.39826562433252
New Caledonia,52.53977260786415
Guinea Bissau,7.1138175234667065
Central African Republic,2.5280722651838072
Curacao,73.1292620648047
Guam,65.1755295511776
French Guiana,36.828466395698435
Equatorial Guinea,7.1704259133205275
Samoa,47.375689215478744
Saint Lucia,50.101564584728834
Mayotte,33.50255667760204
Aruba,85.23312665080644
Seychelles,72.193356177616
Turkmenistan,1.1142061281337048
Vanuatu,20.511484803594392
Antigua And Barbuda,63.31117442228553
Grenada,55.0998462536548
Saint Vincent And The Grenadines,54.98467640165855
Sao Tome And Principe,26.647319982295958
Tonga,51.0904016273239
Isle Of Man,58.80070090435478
Cayman Islands,73.03490459815588
Andorra,54.35837701417201
Bermuda,62.622434888724754
Dominica,54.17720112244048
Greenland,66.93676237449357
Northern Mariana Islands,62.54451953647562
Saint Kitts And Nevis,65.79071035169835
Faroe Islands,67.5357632564517
Sint Maarten,72.30152066424107
Kiribati,25.115321183099066
Western Sahara,4.520046405809766
Turks And Caicos Islands,64.57111863005915
Gibraltar,68.26748983408032
American Samoa,39.861571633056116
United States Virgin Islands,21.067751975101746
Eritrea,0.6175239769897595
Micronesia,18.257218121593073
Marshall Islands,33.78949146815341
Saint Martin,38.79377230641908
Liechtenstein,36.71842215694503
North Korea,0.05430815751972472
Monaco,33.12777126548086
British Virgin Islands,39.69435347821773
Anguilla,59.98800239952009
Cook Islands,48.96378956957413
San Marino,23.282543986325187
Palau,32.05482480380237
Nauru,31.411677753141166
Wallis And Futuna,30.251801761722575
Falkland Islands,89.08045977011494
Montserrat,52.083333333333336
Tuvalu,14.416553595658074
Niue,50.43050430504306
Tokelau,30.213706705969052
Vatican City,2.4968789013732833
